DestinationPort,FlowDuration,TotalFwdPackets,TotalBackwardPackets,TotalLengthOfFwdPackets,TotalLengthOfBwdPackets,FwdPacketLengthMax,FwdPacketLengthMin,FwdPacketLengthMean,FwdPacketLengthStd,BwdPacketLengthMax,BwdPacketLengthMin,BwdPacketLengthMean,BwdPacketLengthStd,FlowBytesPerSecond,FlowPacketsPerSecond,FlowIATMean,FlowIATStd,FlowIATMax,FlowIATMin,FwdIATTotal,FwdIATMean,FwdIATStd,FwdIATMax,FwdIATMin,BwdIATTotal,BwdIATMean,BwdIATStd,BwdIATMax,BwdIATMin,FwdPSHFlags,BwdPSHFlags,FwdURGFlags,BwdURGFlags,FINFlagCount,SYNFlagCount,RSTFlagCount,PSHFlagCount,ACKFlagCount,URGFlagCount,CWEFlagCount,ECEFlagCount,FwdHeaderLength,BwdHeaderLength,FwdPacketsPerSecond,BwdPacketsPerSecond,MinPacketLength,MaxPacketLength,PacketLengthMean,PacketLengthStd,PacketLengthVariance,DownUpRatio,AveragePacketSize,AvgFwdSegmentSize,AvgBwdSegmentSize,FwdAvgBytesPerBulk,FwdAvgPacketsPerBulk,FwdAvgBulkRate,BwdAvgBytesPerBulk,BwdAvgPacketsPerBulk,BwdAvgBulkRate,SubflowFwdPackets,SubflowFwdBytes,SubflowBwdPackets,SubflowBwdBytes,InitWinBytesForward,InitWinBytesBackward,ActiveMean,ActiveStd,ActiveMax,ActiveMin,IdleMean,IdleStd,IdleMax,IdleMin,ActDataPktFwd,MinSegSizeForward,Protocol,Label
21,10648,61,33,6726,15039,460,70,265,38,633,55,344,56,11232,51,449,4089,29282,40,16067,992,3555,40992,54,5370,7140,824,45404,69,0,1,0,0,0,1,0,40,19,0,0,0,40,27,80,75,42,1154,598,137,18769,2,838,103,582,3845,14,263,510,78,6264,6,1324,38,1519,45358,16429,5405,6085,262797,51,42616,7095,317947,219,1,49,6,FTP-Patator
80,163,102,0,68872,34,625,76,350.5,13,621,48,334.5,49,461081,4680,7943,2708,20634,30,90818,5908,3702,1951,88,95810,3395,3582,8955,11,1,0,0,0,1,119,0,0,8,0,0,0,38,33,98,76,86,1074,580,70,4900,7,294,632,561,6720,71,2894,5520,98,6508,2,1792,46,233,20792,23413,4809,2239,300245,422,10279,9935,69482,106,16,45,6,DoS Hulk
21,18376,34,22,6155,18802,361,57,209,60,878,82,480,20,19773,160,6021,2018,44165,45,35472,9641,2371,27607,94,81223,1370,625,1139,19,1,0,0,0,1,1,0,15,45,0,0,0,57,48,89,18,64,1295,679.5,110,12100,7,212,919,967,3338,54,6159,9424,82,7473,14,1764,26,4041,22362,59112,66777,1976,145791,229,83528,6436,50101,421,40,90,6,FTP-Patator
21,41270,47,61,14972,5607,1408,43,725.5,15,400,58,229,25,11536,161,2984,1426,44221,47,37381,4592,3840,33465,99,36216,8579,1625,9991,93,1,0,0,0,1,1,0,33,17,0,0,0,43,44,92,88,63,1478,770.5,61,3721,6,524,892,381,8906,1,2983,5802,1,8907,21,3413,33,4924,25176,62127,75469,405,176992,657,5216,6884,265719,365,17,37,6,FTP-Patator
290,35748,11,13,3397,988,1018,51,534.5,67,1013,91,552,42,9503,26,6191,2164,21997,20,79262,5588,2733,33936,41,65813,9749,3513,12054,31,1,1,0,0,1,1,1,2,3,0,0,0,41,52,50,86,81,1158,619.5,138,19044,8,776,506,990,413,41,4201,1636,56,4062,1,4769,23,1613,35959,49170,41987,1045,102318,797,46848,9081,470417,501,11,95,6,BENIGN
9683,193204,19,10,6875,1195,1257,89,673,45,937,47,492,81,1559,46,2955,2767,3458,1,65449,1031,2698,39549,52,72270,9022,3418,44601,35,0,1,0,0,1,1,1,0,5,0,0,0,36,54,79,93,87,1422,754.5,191,36481,1,830,696,180,8478,18,7118,9663,80,8140,22,4543,10,1427,55248,28856,57957,9192,459864,60,84833,3540,426531,390,6,98,6,Bot
25686,286396,98,73,3484,9950,844,42,443,35,1327,95,711,89,2666,32,9647,1644,12719,41,83242,8735,368,41603,45,83953,7855,4460,13253,87,1,1,0,0,1,0,1,2,8,0,0,0,25,44,37,14,76,1229,652.5,164,26896,7,508,709,354,1135,10,4941,5129,35,4684,34,854,31,3897,28447,54895,96044,3450,149598,281,41540,5581,63965,143,46,50,6,Bot
21,29383,58,98,4752,13330,1025,56,540.5,25,778,42,410,21,6726,105,1808,1200,11481,73,37135,8918,272,22625,4,86270,520,855,28975,67,0,0,0,0,1,0,1,30,23,0,0,0,54,54,98,30,42,1281,661.5,185,34225,9,880,168,212,1236,26,785,1509,24,1548,32,3172,22,493,37385,49678,88612,5716,184610,487,51154,453,474068,292,29,28,6,FTP-Patator
299,10470,41,44,1366,4475,1115,69,592,24,300,98,199,52,2911,47,2151,2136,18690,5,18583,7010,3578,1743,37,23295,6936,2298,46243,4,1,1,0,0,0,0,0,2,7,0,0,0,21,30,67,62,41,1230,635.5,123,15129,9,971,967,334,8433,6,791,1716,38,4133,34,1655,41,3799,31362,17699,81745,163,436443,537,21505,5926,367907,587,10,79,6,Infiltration
304,54288,33,47,2904,2178,986,92,539,49,137,75,106,95,6622,25,7632,1938,26982,9,43420,1085,606,45312,80,91058,9560,4949,33489,81,0,0,0,0,1,1,0,2,3,0,0,0,29,38,95,78,65,1038,551.5,171,29241,7,780,926,701,527,82,1190,7919,54,4899,2,2213,6,3544,22378,16085,42209,6562,162029,98,2062,7173,370832,722,49,63,6,BENIGN
